编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分!@#None!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月 5日 13时 31分!@#P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time!@#P NN NN VV NR NN LC PU NR PU NN PU NN PU DEG NN VC NN!@#17!@#17!@#4 8!@#15!@#!@#10 12!@#!@#( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )!@#!@#!@#!@#指示_0(美国肯尼迪航天中心（28°30′N，80°42′W）的区时,8月5日13时31分)!@#指示!@#0_16!@#8-17!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#时间状语!@#名词短语+动词短语!@#16!@#!@#
3-D!@#好奇号探测车用于研究火星上是否存在适合生物生存的环境，主要目标是探测火星上是否存在	液态水和有机物!@#None!@#好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有机物!@#好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有机物!@#好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有机物!@#好奇号 探测车 用于 研究 火星 上 是否 存在 适合 生物 生存 的 环境 ， 主要 目标 是 探测 火星 上 是否 存在 液态水 和 有机物!@#NN NN VV VV NN LC AD VV VV NN NN DEG NN PU JJ NN VC VV NN LC AD VV NN CC NN!@#NN NN VV VV NR LC AD VV VV NN NN DEG NN PU JJ NN VC VV NR LC AD VV NN CC NN!@#!@#!@#4 18!@#!@#!@#!@#!@#( (IP (IP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VP (VV 用于) (LCP (IP (VP (VV 研究) (NP (NN 火星)))) (LC 上))) (VP (ADVP (AD 是否)) (VP (VV 存在))))) (VP (VV 适合) (NP (DNP (NP (NN 生物) (NN 生存)) (DEG 的)) (NP (NN 环境))))) (PU ，) (NP (ADJP (JJ 主要)) (NP (NN 目标))) (VP (VC 是) (NP (CP (IP (VP (LCP (IP (VP (VV 探测) (NP (NN 火星)))) (LC 上)) (ADVP (AD 是否)) (VP (VV 存在))))) (NP (NN 液态水) (CC 和) (NN 有机物))))) )!@#其他关联_0(目标,是,探测火星上是否存在液态水和有机物)!@#其他关联!@#0_16!@#其他陈述_0(火星上,是否存在,液态水和有机物)!@#其他陈述!@#0_21!@#18-24!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#14!@#
4-A!@#图示区域的最大高差约为	4843米!@#None!@#图示 区域 的 最 大 高差 约 为 4843米!@#图示 区域 的 最 大 高差 约 为 4843 米!@#图示 区域 的 最 大高 差约 为 4843 米!@#图示 区域 的 最 大 高差 约 为 4843 米!@#VA NN DEG AD JJ NN AD VC num!@#VV NN DEG AD JJ NN AD VC CD!@#!@#!@#!@#!@#!@#8!@#!@#( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 4843米))))) )!@#!@#!@#!@#指示_0(区域的最大高差,4843米)!@#指示!@#0_7!@#1-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#7!@#0 6!@#
4-B!@#图示区域的最大高差约为	2843米!@#None!@#图示 区域 的 最 大 高差 约 为 2843米!@#图示 区域 的 最 大 高差 约 为 2843 米!@#图示 区域 的 最 大高 差约 为 2843 米!@#图示 区域 的 最 大 高差 约 为 2843 米!@#VA NN DEG AD JJ NN AD VC num!@#VV NN DEG AD JJ NN AD VC CD!@#!@#!@#!@#!@#!@#8!@#!@#( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 2843米))))) )!@#!@#!@#!@#指示_0(区域的最大高差,2843米)!@#指示!@#0_7!@#1-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0 6!@#
4-C!@#图示区域的最大高差约为	3840米!@#None!@#图示 区域 的 最 大 高差 约 为 3840米!@#图示 区域 的 最 大 高差 约 为 3840 米!@#图示 区域 的 最 大高 差约 为 3840 米!@#图示 区域 的 最 大 高差 约 为 3840 米!@#VA NN DEG AD JJ NN AD VC num!@#VV NN DEG AD JJ NN AD VC CD!@#!@#!@#!@#!@#!@#8!@#!@#( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 3840米))))) )!@#!@#!@#!@#指示_0(区域的最大高差,3840米)!@#指示!@#0_7!@#1-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0 6!@#
4-D!@#图示区域的最大高差约为	4000米!@#None!@#图示 区域 的 最 大 高差 约 为 4000米!@#图示 区域 的 最 大 高差 约 为 4000 米!@#图示 区域 的 最 大高 差约 为 4000 米!@#图示 区域 的 最 大 高差 约 为 4000 米!@#VA NN DEG AD JJ NN AD VC num!@#VV NN DEG AD JJ NN AD VC CD!@#!@#!@#!@#!@#!@#8!@#!@#( (IP (NP (DNP (NP (CP (VP (VA 图示))) (NP (NN 区域))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 大))) (NP (NN 高差))) (VP (ADVP (AD 约)) (VP (VC 为) (QP (CD 4000米))))) )!@#!@#!@#!@#指示_0(区域的最大高差,4000米)!@#指示!@#0_7!@#1-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0 6!@#
5-A!@#图中河流	补给类型均为降水补给!@#None!@#图 中 河流 补给 类型 均 为 降水 补给!@#图 中 河流 补给 类型 均 为 降水 补给!@#图 中 河流 补给 类型 均 为 降水 补给!@#图 中 河流 补给 类型 均 为 降水 补给!@#NN LC NN NN NN AD VC NN NN!@#NN LC NN NN NN AD VC NN NN!@#!@#!@#!@#2-4 7-8!@#!@#!@#!@#( (IP (NP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN 补给))) (NP (NN 类型))) (VP (ADVP (AD 均)) (VP (VC 为) (NP (NN 降水) (NN 补给))))) )!@#!@#!@#!@#指示_0(河流补给类型,降水补给)!@#指示!@#0_6!@#2-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#null!@#!@#0-1!@#
5-B!@#图中河流	a河流落差大于b河流!@#None!@#图 中 河流 a 河流 落差 大于 b 河流!@#图 中 河流 a 河流 落差 大于 b 河流!@#图 中 河流 a河流 落差 大于 b河流!@#图 中 河流 a河流 落差 大于 b河流!@#NN LC NN NN NN NN VV NN NN!@#NN LC NN NN NN NN VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流) (NN a) (NN 河流))) (NP (NN 落差))) (VP (VV 大于) (NP (NN b) (NN 河流)))) )!@#!@#!@#!@#比较_0(a河流,落差,b河流,落差,大于)!@#比较!@#0_6!@#3-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#2
5-C!@#图中河流	a为内流河，b为外流河!@#y!@#图 中 河流 a 为 内流河 ， b 为 外流河!@#图 中 河流 a 为 内流河 ， b 为 外流河!@#图 中 河流 a 为 内流河 ， b 为 外流河!@#图 中 河流 a 为 内流河 ， b 为 外流河!@#NN LC NN NN VC term PU NN VV term!@#NN LC NN NN VC NN PU NN VC NN!@#!@#!@#!@#5 9!@#!@#!@#!@#( (IP (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN a))) (VP (VC 为) (NP (NN 内流河)))) (PU ，) (IP (NP (NN b)) (VP (VV 为) (NP (NN 外流河))))) )!@#!@#!@#!@#指示_0(a,内流河)指示_1(b,外流河)!@#指示!@#0_4 1_8!@#3-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#2
5-C-0!@#图中河流	a为内流河!@#ed-ori!@#图 中 河流 a 为 内流河!@#图 中 河流 a 为 内流河!@#图 中 河流 a 为 内流河!@#图 中 河流 a 为 内流河!@#NN LC NN NN VC term!@#NN LC NN NN VC NN!@#!@#!@#!@#5!@#!@#!@#!@#( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN a))) (VP (VC 为) (NP (NN 内流河)))) )!@#!@#!@#!@#指示_0(a,内流河)!@#指示!@#0_4!@#3-5!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#2
5-C-1!@#图中河流	b为外流河!@#ed-ori!@#图 中 河流 b 为 外流河!@#图 中 河流 b 为 外流河!@#图 中 河流 b 为 外流河!@#图 中 河流 b 为 外流河!@#NN LC NN NN VC term!@#NN LC NN NN VC NN!@#!@#!@#!@#5!@#!@#!@#!@#( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流))) (NP (NN b))) (VP (VC 为) (NP (NN 外流河)))) )!@#!@#!@#!@#指示_0(b,外流河)!@#指示!@#0_4!@#3-5!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#2
5-D!@#图中河流	b河流总体流向为自西南向东北!@#None!@#图 中 河流 b 河流 总体 流向 为 自 西南 向 东北!@#图 中 河流 b 河流 总体 流向 为 自 西南 向 东北!@#图 中 河流 b河流 总体 流向 为 自 西南 向东北!@#图 中 河流 b河流 总体 流向 为 自 西南 向 东北!@#NN LC NN NN NN NN NN VC P NN P NN!@#NN LC NN NN NN NN NN VC P NN P NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 河流) (NN b) (NN 河流))) (NP (NN 总体) (NN 流向))) (VP (VC 为) (IP (VP (PP (PP (P 自) (NP (NN 西南))) (PP (P 向) (NP (NN 东北)))))))) )!@#!@#!@#!@#指示_0(b河流总体流向,自西南向东北)!@#指示!@#0_7!@#3-11!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1!@#2
6-A!@#该区域农业可持续发展的主要措施是	扩大农业灌溉面积!@#None!@#该 区域 农业 可 持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积!@#该 区域 农业 可 持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积!@#该 区域 农业 可 持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积!@#该 区域 农业 可 持续 发展 的 主要 措施 是 扩大 农业 灌溉 面积!@#DT NN NN VV VV VV DEC JJ NN VC VV NN NN NN!@#DT NN NN VV VV VV DEC JJ NN VC VV NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (IP (VP (VV 扩大) (NP (NN 农业) (NN 灌溉) (NN 面积)))))) )!@#对策_0(该区域农业可持续发展,#,扩大农业灌溉面积)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#null!@#名词短语+动词短语!@#9!@#7!@#
6-B!@#该区域农业可持续发展的主要措施是	大力开发地下水资源!@#None!@#该 区域 农业 可 持续 发展 的 主要 措施 是 大力 开发 地下水 资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 大力 开发 地下水 资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 大力 开发 地下水 资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 大力 开发 地下水 资源!@#DT NN NN VV VV VV DEC JJ NN VC AD VV NN NN!@#DT NN NN VV VV VV DEC JJ NN VC AD VV NN NN!@#!@#!@#!@#12!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (ADVP (AD 大力)) (VP (VV 开发) (NP (NN 地下水) (NN 资源)))))) )!@#对策_0(该区域农业可持续发展,#,大力开发地下水资源)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#7!@#
6-C!@#该区域农业可持续发展的主要措施是	调整农业结构，合理分配水资源!@#y!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构 ， 合理 分配 水资源!@#DT NN NN VV VV VV DEC JJ NN VC VV NN NN PU AD VV NN!@#DT NN NN VV VV VV DEC JJ NN VC VV NN NN PU AD VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (VP (VV 调整) (NP (NN 农业) (NN 结构))) (PU ，) (VP (ADVP (AD 合理)) (VP (VV 分配) (NP (NN 水资源))))))) )!@#对策_0(该区域农业可持续发展,#,调整农业结构，合理分配水资源)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#7!@#
6-C-0!@#该区域农业可持续发展的主要措施是	调整农业结构!@#ed-ori!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构!@#该 区域 农业 可 持续 发展 的 主要 措施 是 调整 农业 结构!@#DT NN NN VV VV VV DEC JJ NN VC VV NN NN!@#DT NN NN VV VV VV DEC JJ NN VC VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (NP (CP (IP (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (IP (VP (VV 调整) (NP (NN 农业) (NN 结构)))))) )!@#对策_0(该区域农业可持续发展,#,调整农业结构)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#7!@#
6-C-1!@#该区域农业可持续发展的主要措施是	合理分配水资源!@#ed-ori!@#该 区域 农业 可 持续 发展 的 主要 措施 是 合理 分配 水资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 合理 分配 水资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 合理 分配 水资源!@#该 区域 农业 可 持续 发展 的 主要 措施 是 合理 分配 水资源!@#DT NN NN VV VV VV DEC JJ NN VC AD VV NN!@#DT NN NN VV VV VV DEC JJ NN VC AD VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (ADVP (AD 合理)) (VP (VV 分配) (NP (NN 水资源)))))) )!@#对策_0(该区域农业可持续发展,#,合理分配水资源)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#7!@#
6-D!@#该区域农业可持续发展的主要措施是	植树造林，治理水土流失!@#y!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土流失!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土 流失!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土流失!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林 ， 治理 水土流失!@#DT NN NN VV VV VV DEC JJ NN VC NN NN PU VV NN!@#DT NN NN VV VV VV DEC JJ NN VC NN NN PU VV NN!@#!@#!@#!@#10-11 14!@#!@#!@#!@#( (IP (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (NP (NN 植树) (NN 造林)))) (PU ，) (IP (VP (VV 治理) (NP (NN 水土流失))))) )!@#对策_0(该区域农业可持续发展,#,植树造林，治理水土流失)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#7!@#
6-D-0!@#该区域农业可持续发展的主要措施是	植树造林!@#ed-ori!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林!@#该 区域 农业 可 持续 发展 的 主要 措施 是 植树 造林!@#DT NN NN VV VV VV DEC JJ NN VC NN NN!@#DT NN NN VV VV VV DEC JJ NN VC NN NN!@#!@#!@#!@#10-11!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (NP (NN 植树) (NN 造林)))) )!@#对策_0(该区域农业可持续发展,#,植树造林)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#7!@#
6-D-1!@#该区域农业可持续发展的主要措施是	治理水土流失!@#ed-ori!@#该 区域 农业 可 持续 发展 的 主要 措施 是 治理 水土流失!@#该 区域 农业 可 持续 发展 的 主要 措施 是 治理 水土 流失!@#该 区域 农业 可 持续 发展 的 主要 措施 是 治理 水土流失!@#该 区域 农业 可 持续 发展 的 主要 措施 是 治理 水土流失!@#DT NN NN VV VV VV DEC JJ NN VC VV NN!@#DT NN NN VV VV VV DEC JJ NN VC VV NN!@#!@#!@#!@#11!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 区域))) (NP (NN 农业))) (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (VV 治理) (NP (NN 水土流失))))) )!@#对策_0(该区域农业可持续发展,#,治理水土流失)!@#对策!@#0_8!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#7!@#
7-①!@#若在该区域发展旅游业，可供观赏的有	山地冰川景观!@#None!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 山地 冰川 景观!@#CS P DT NN VV NN PU VV VV VV DEC VE term term NN!@#CS P DT NN VV NN PU VV VV VV DEC VE NN NN NN!@#!@#!@#!@#12 13!@#!@#!@#!@#( (IP (IP (VP (ADVP (CS 若)) (VP (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))))) (PU ，) (NP (CP (IP (VP (VV 可) (VP (VV 供) (VP (VV 观赏))))) (DEC 的))) (VP (VE 有) (NP (NN 山地) (NN 冰川) (NN 景观)))) )!@#!@#!@#!@#其他陈述_0(可供观赏的,有,山地冰川景观)!@#其他陈述!@#0_11!@#7-14!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#条件状语!@#名词短语+动词短语!@#11!@#!@#
7-②!@#若在该区域发展旅游业，可供观赏的有	沙漠景观!@#None!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 沙漠 景观!@#CS P DT NN VV NN PU VV VV VV DEC VE term NN!@#CS P DT NN VV NN PU VV VV VV DEC VE NN NN!@#!@#!@#!@#12!@#!@#!@#!@#( (NP (CP (IP (VP (VP (ADVP (CS 若)) (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))) (PU ，) (VP (VV 可) (VP (VV 供) (VP (VV 观赏)))))) (DEC 的)) (CP (IP (VP (VE 有) (NP (NN 沙漠))))) (NP (NN 景观))) )!@#!@#!@#!@#其他陈述_0(可供观赏的,有,沙漠景观)!@#其他陈述!@#0_11!@#7-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
7-③!@#若在该区域发展旅游业，可供观赏的有	喀斯特地貌景观!@#None!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特地貌 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特 地貌 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特地貌 景观!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 喀斯特地貌 景观!@#CS P DT NN VV NN PU VV VV VV DEC VE term NN!@#CS P DT NN VV NN PU VV VV VV DEC VE NN NN!@#!@#!@#!@#12!@#!@#!@#!@#( (IP (IP (VP (ADVP (CS 若)) (VP (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))))) (PU ，) (NP (CP (IP (VP (VV 可) (VP (VV 供) (VP (VV 观赏))))) (DEC 的))) (VP (VE 有) (NP (NN 喀斯特地貌) (NN 景观)))) )!@#!@#!@#!@#其他陈述_0(可供观赏的,有,喀斯特地貌景观)!@#其他陈述!@#0_11!@#7-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
7-④!@#若在该区域发展旅游业，可供观赏的有	草原牧场!@#None!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 草原 牧场!@#CS P DT NN VV NN PU VV VV VV DEC VE term NN!@#CS P DT NN VV NN PU VV VV VV DEC VE NN NN!@#!@#!@#!@#12!@#!@#!@#!@#( (NP (CP (IP (VP (VP (ADVP (CS 若)) (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))) (PU ，) (VP (VV 可) (VP (VV 供) (VP (VV 观赏)))))) (DEC 的)) (CP (IP (VP (VE 有) (NP (NN 草原))))) (NP (NN 牧场))) )!@#!@#!@#!@#其他陈述_0(可供观赏的,有,草原牧场)!@#其他陈述!@#0_11!@#7-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
7-⑤!@#若在该区域发展旅游业，可供观赏的有	壮族风情!@#None!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情!@#若 在 该 区域 发展 旅游业 ， 可 供 观赏 的 有 壮族 风情!@#CS P DT NN VV NN PU VV VV VV DEC VE NN NN!@#CS P DT NN VV NN PU VV VV VV DEC VE NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (VP (ADVP (CS 若)) (VP (PP (P 在) (NP (DP (DT 该)) (NP (NN 区域)))) (VP (VV 发展) (NP (NN 旅游业)))))) (PU ，) (NP (CP (IP (VP (VV 可) (VP (VV 供) (VP (VV 观赏))))) (DEC 的))) (VP (VE 有) (NP (NN 壮族) (NN 风情)))) )!@#!@#!@#!@#其他陈述_0(可供观赏的,有,壮族风情)!@#其他陈述!@#0_11!@#7-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
