编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#该景观	形成受海水侵蚀的影响!@#None!@#该 景观 形成 受 海水 侵蚀 的 影响!@#该 景观 形成 受 海水 侵蚀 的 影响!@#该 景观 形成 受 海水侵蚀 的 影响!@#该 景观 形成 受 海水侵蚀 的 影响!@#DT NN VV VV NN term DEG NN!@#DT NN VV VV NN NN DEG NN!@#!@#!@#!@#5!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VV 形成) (NP (DNP (NP (CP (IP (VP (VV 受) (NP (NN 海水))))) (NP (NN 侵蚀))) (DEG 的)) (NP (NN 影响))))) )!@#!@#!@#!@#影响_0(海水侵蚀,该景观,#,形成)!@#影响!@#0_7!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
3-D!@#在图3所示的山区自然灾害链中，①②③④依次是	崩塌、滑坡、泥石流、地震!@#None!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 崩塌 、 滑坡 、 泥石流 、 地震!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 崩塌 、 滑坡 、 泥石流 、 地震!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 崩塌 、 滑坡 、 泥石流 、 地震!@#在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 崩塌 、 滑坡 、 泥石流 、 地震!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC term PU term PU term PU term!@#P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC NN PU NN PU NN PU NN!@#!@#!@#!@#16 18 20 22!@#!@#!@#!@#( (IP (PP (P 在) (LCP (NP (CP (IP (NP (NN 图3)) (VP (VV 所示))) (DEC 的)) (NP (NP (NN 山区)) (NP (NN 自然) (NN 灾害)) (NP (NN 链)))) (LC 中))) (PU ，) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 崩塌) (PU 、) (NN 滑坡) (PU 、) (NN 泥石流) (PU 、) (NN 地震))))) )!@#!@#!@#!@#指示_0(①②③④,崩塌、滑坡、泥石流、地震)!@#指示!@#0_14-15!@#10-22!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#0 8-9!@#1-7
4-A!@#平均海拔由高到低的省区依次是	湘、辽、宁!@#None!@#平均 海拔 由 高 到 低 的 省区 依次 是 湘 、 辽 、 宁!@#平均 海拔 由 高 到 低 的 省区 依次 是 湘 、 辽 、 宁!@#平均 海拔 由 高 到 低 的 省区 依次 是 湘 、 辽 、 宁!@#平均 海拔 由 高 到 低 的 省区 依次 是 湘 、 辽 、 宁!@#JJ NN P VA VV VA DEC NN AD VC loc PU loc PU loc!@#JJ NN P VA P VA DEC NN AD VC NR PU NR PU NR!@#!@#!@#10 12 14!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 海拔))) (VP (PP (P 由) (IP (VP (VRD (VA 高) (VV 到))))) (VP (VA 低)))) (DEC 的)) (NP (NN 省区))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NR 湘) (PU 、) (NR 辽) (PU 、) (NR 宁))))) )!@#!@#!@#!@#指示_0(平均海拔由高到低的省区,湘、辽、宁)!@#指示!@#0_8-9!@#0-14!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
4-B!@#平均海拔由高到低的省区依次是	台、鲁、苏!@#None!@#平均 海拔 由 高 到 低 的 省区 依次 是 台 、 鲁 、 苏!@#平均 海拔 由 高 到 低 的 省区 依次 是 台 、 鲁 、 苏!@#平均 海拔 由 高 到 低 的 省区 依次 是 台 、 鲁 、 苏!@#平均 海拔 由 高 到 低 的 省区 依次 是 台 、 鲁 、 苏!@#JJ NN P VA VV VA DEC NN AD VC loc PU loc PU loc!@#JJ NN P VA P VA DEC NN AD VC NR PU NR PU NR!@#!@#!@#10 12 14!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 海拔))) (VP (PP (P 由) (IP (VP (VRD (VA 高) (VV 到))))) (VP (VA 低)))) (DEC 的)) (NP (NN 省区))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NR 台) (PU 、) (NR 鲁) (PU 、) (NR 苏))))) )!@#!@#!@#!@#指示_0(平均海拔由高到低的省区,台、鲁、苏)!@#指示!@#0_8-9!@#0-14!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
4-C!@#平均海拔由高到低的省区依次是	青、粤、晋!@#None!@#平均 海拔 由 高 到 低 的 省区 依次 是 青 、 粤 、 晋!@#平均 海拔 由 高 到 低 的 省区 依次 是 青 、 粤 、 晋!@#平均 海拔 由 高 到 低 的 省区 依次 是 青 、 粤 、 晋!@#平均 海拔 由 高 到 低 的 省区 依次 是 青 、 粤 、 晋!@#JJ NN P VA VV VA DEC NN AD VC loc PU loc PU loc!@#JJ NN P VA P VA DEC NN AD VC NR PU NR PU NR!@#!@#!@#10 12 14!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 海拔))) (VP (PP (P 由) (IP (VP (VRD (VA 高) (VV 到))))) (VP (VA 低)))) (DEC 的)) (NP (NN 省区))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NR 青) (PU 、) (NR 粤) (PU 、) (NR 晋))))) )!@#!@#!@#!@#指示_0(平均海拔由高到低的省区,青、粤、晋)!@#指示!@#0_8-9!@#0-14!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
4-D!@#平均海拔由高到低的省区依次是	桂、甘、豫!@#None!@#平均 海拔 由 高 到 低 的 省区 依次 是 桂 、 甘 、 豫!@#平均 海拔 由 高 到 低 的 省区 依次 是 桂 、 甘 、 豫!@#平均 海拔 由 高 到 低 的 省区 依次 是 桂 、 甘 、 豫!@#平均 海拔 由 高 到 低 的 省区 依次 是 桂 、 甘 、 豫!@#JJ NN P VA VV VA DEC NN AD VC loc PU loc PU loc!@#JJ NN P VA P VA DEC NN AD VC NR PU NR PU NR!@#!@#!@#10 12 14!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 海拔))) (VP (PP (P 由) (IP (VP (VRD (VA 高) (VV 到))))) (VP (VA 低)))) (DEC 的)) (NP (NN 省区))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NR 桂) (PU 、) (NR 甘) (PU 、) (NR 豫))))) )!@#!@#!@#!@#指示_0(平均海拔由高到低的省区,桂、甘、豫)!@#指示!@#0_8-9!@#0-14!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
5-A!@#图中各点最可能表示世界	主要能源矿产产地!@#None!@#图 中 各 点 最 可能 表示 世界 主要 能源 矿产 产地!@#图 中 各 点 最 可能 表示 世界 主要 能源 矿产 产地!@#图 中 各 点 最 可能 表示 世界 主要 能源 矿产 产地!@#图 中 各 点 最 可能 表示 世界 主要 能源 矿产 产地!@#NN LC DT NN AD VV VV NN JJ NN NN NN!@#NN LC DT NN AD AD VV NN JJ NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LCP (NP (NN 图)) (LC 中)) (NP (DP (DT 各)) (NP (NN 点))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 表示) (NP (NP (NP (NN 世界)) (ADJP (JJ 主要)) (NP (NN 能源))) (NP (NN 矿产) (NN 产地))))))) )!@#!@#!@#!@#指示_0(图中各点,主要能源矿产产地)!@#指示!@#0_6!@#0-11!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#4-5!@#
5-B!@#图中各点最可能表示世界	百万人口以上的城市!@#None!@#图 中 各 点 最 可能 表示 世界 百万 人口 以上 的 城市!@#图 中 各 点 最 可能 表示 世界 百万 人口 以上 的 城市!@#图 中 各 点 最 可能 表示 世界 百 万人口 以上 的 城市!@#图 中 各 点 最 可能 表示 世界 百万 人口 以上 的 城市!@#NN LC DT NN AD VV VV NN num NN LC DEG NN!@#NN LC DT NN AD AD VV NN CD NN LC DEG NN!@#!@#!@#!@#!@#!@#8!@#!@#( (IP (LCP (NP (NN 图)) (LC 中)) (NP (DP (DT 各)) (NP (NN 点))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 表示) (NP (NP (NN 世界)) (DNP (LCP (NP (QP (CD 百万)) (NP (NN 人口))) (LC 以上)) (DEG 的)) (NP (NN 城市))))))) )!@#!@#!@#!@#指示_0(图中各点,百万人口以上的城市)!@#指示!@#0_6!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#4-5!@#
5-C!@#图中各点最可能表示世界	自然和文化遗产地!@#None!@#图 中 各 点 最 可能 表示 世界 自然 和 文化 遗产 地!@#图 中 各 点 最 可能 表示 世界 自然 和 文化 遗产 地!@#图 中 各 点 最 可能 表示 世界 自然 和 文化 遗产 地!@#图 中 各 点 最 可能 表示 世界 自然 和 文化 遗产 地!@#NN LC DT NN AD VV VV NN NN CC NN NN NN!@#NN LC DT NN AD AD VV NN NN CC NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LCP (NP (NN 图)) (LC 中)) (NP (DP (DT 各)) (NP (NN 点))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 表示) (NP (NP (NP (NN 世界)) (NP (NN 自然) (CC 和) (NN 文化) (NN 遗产))) (NP (NN 地))))))) )!@#!@#!@#!@#指示_0(图中各点,自然和文化遗产地)!@#指示!@#0_6!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#4-5!@#
5-D!@#图中各点最可能表示世界	近10年7级以上地震震中!@#None!@#图 中 各 点 最 可能 表示 世界 近 10年 7级 以上 地震 震中!@#图 中 各 点 最 可能 表示 世界 近 10年 7级 以上 地震 震中!@#图 中 各 点 最 可能 表示 世界 近 10年7 级 以上 地震 震中!@#图 中 各 点 最 可能 表示 世界 近 10年 7 级 以上 地震 震中!@#NN LC DT NN AD VV VV NN AD time num LC NN NN!@#NN LC DT NN AD AD VV NN AD NT NT LC NN NN!@#9!@#9!@#!@#!@#!@#10!@#!@#( (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (DP (DT 各)) (NP (NN 点))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VV 表示) (NP (NP (NN 世界)) (ADVP (AD 近)) (NP (NT 10年))) (LCP (QP (CD 7级)) (LC 以上))))))) (NP (NN 地震) (NN 震中))) )!@#!@#!@#!@#指示_0(图中各点,近10年7级以上地震震中)!@#指示!@#0_6!@#0-13!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#4-5!@#
6-A!@#在6月到8月期间	正午太阳高度角①比②小!@#None!@#在 6月到8月期间 正午太阳高度角 ① 比 ② 小!@#在 6月 到 8月 期间 正午 太阳 高度 角 ① 比 ② 小!@#在 6月到8月 期间 正午太阳高度角 ① 比 ② 小!@#在 6月 到 8月 期间 正午太阳高度角 ① 比 ② 小!@#P time term NN P NN VA!@#P CD NN NN P NN VA!@#1!@#1!@#!@#2!@#!@#!@#!@#( (IP (PP (P 在) (NP (NT 6月到8月期间))) (NP (NN 正午太阳高度角) (NN ①)) (VP (PP (P 比) (NP (NN ②))) (VP (VA 小)))) )!@#!@#!@#!@#时间限定_0(6月到8月期间,1)比较_1(①,正午太阳高度角,②,正午太阳高度角,小)!@#时间限定 比较!@#1_4!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
6-B!@#在6月到8月期间	日出时间①比③早!@#None!@#在 6月到8月期间 日出 时间 ① 比 ③ 早!@#在 6月 到 8月 期间 日出 时间 ① 比 ③ 早!@#在 6月到8月 期间 日出时间 ① 比 ③ 早!@#在 6月 到 8月 期间 日出时间 ① 比 ③ 早!@#P time NN NN NN P NN VA!@#P CD NN NN NN P NN VA!@#1!@#1!@#!@#!@#!@#!@#!@#( (IP (NP (PP (P 在) (NP (NT 6月到8月期间))) (NP (NN 日出) (NN 时间))) (NP (NN ①)) (VP (PP (P 比) (NP (NN ③))) (VP (VA 早)))) )!@#!@#!@#!@#时间限定_0(6月到8月期间,1)比较_1(①,日出时间,③,日出时间,早)!@#时间限定 比较!@#1_4!@#0-7!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
6-C!@#在6月到8月期间	④地白昼时间逐渐增加!@#None!@#在 6月到8月期间 ④地 白昼 时间 逐渐 增加!@#在 6月 到 8月 期间 ④地 白昼 时间 逐渐 增加!@#在 6月到8月 期间 ④地 白 昼时间 逐渐 增加!@#在 6月 到 8月 期间 ④地 白昼时间 逐渐 增加!@#P time loc NN NN AD VV!@#P NR NN NN NN AD VV!@#1!@#1 2!@#2!@#!@#!@#!@#!@#( (IP (NP (PP (P 在) (NP (NP (NT 6月到8月期间)) (NP (NR ④地)))) (NP (NN 白昼) (NN 时间))) (VP (ADVP (AD 逐渐)) (VP (VV 增加)))) )!@#!@#!@#!@#时间限定_0(6月到8月期间,1)变化_1(④地白昼时间,#,增加)!@#时间限定 变化!@#1_5-6!@#0-6!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#
