编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#图1中	帕斯位于Q地的西北方向!@#None!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#图1 中 帕斯 位于 Q地 的 西北 方向!@#NN LC loc VV loc DEG NN NN!@#NN LC NR VV NN DEG NN NN!@#!@#!@#2 4!@#!@#4!@#!@#!@#( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NR 帕斯))) (VP (VV 位于) (NP (DNP (NP (NR Q地)) (DEG 的)) (NP (NN 西北) (NN 方向))))) )!@#!@#!@#!@#其他陈述_0(帕斯,位于,Q地的西北方向)!@#其他陈述!@#!@#2-7!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#范围限定!@#!@#0-1!@#
3-④!@#图3为某地相关资料统计图，该地	受副热带高压和信风交替控制!@#None!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 副热带高压 和 信风 交替 控制!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 副 热带 高压 和 信风 交替 控制!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 副热带高压 和 信风 交替 控制!@#图3 为 某地 相关 资料 统计图 ， 该 地 受 副热带高压 和 信风 交替 控制!@#NN VC NN JJ NN NN PU DT NN VV term CC term VV VV!@#NN VC NN JJ NN NN PU DT NN VV NN CC NN VV VV!@#!@#!@#!@#10 12!@#!@#!@#!@#( (IP (IP (NP (NN 图3)) (VP (VC 为) (NP (NP (NN 某地)) (ADJP (JJ 相关)) (NP (NN 资料) (NN 统计图))))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地))) (VP (VV 受) (NP (NN 副热带高压)))) (CC 和) (IP (NP (NN 信风)) (VP (VCD (VV 交替) (VV 控制))))) )!@#!@#!@#!@#影响_0(副热带高压和信风,该地,#,交替控制)!@#影响!@#0_9!@#7-14!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#0-6
4-A!@#图4为某地地质剖面图，该地区	曾发生过地壳运动和变质作用!@#None!@#图4 为 某地 地质剖面图 ， 该 地区 曾 发生 过 地壳运动 和 变质作用!@#图4 为 某地 地质 剖面图 ， 该 地区 曾 发生 过 地壳 运动 和 变质 作用!@#图4 为 某地 地质剖面图 ， 该 地区 曾 发生 过 地壳运动 和 变质作用!@#图4 为 某地 地质剖面图 ， 该 地区 曾 发生 过 地壳运动 和 变质作用!@#NN VC NN term PU DT NN AD VV AS term CC term!@#NN VC NN NN PU DT NN AD VV AS NN CC NN!@#!@#!@#!@#3 10 12!@#!@#!@#!@#( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 曾)) (VP (VV 发生) (AS 过) (NP (NN 地壳运动) (CC 和) (NN 变质作用)))))) )!@#!@#!@#!@#其他陈述_0(该地区,发生,地壳运动和变质作用)!@#其他陈述!@#!@#5-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#陈述句!@#名词短语(包括时间/地点短语)!@#!@#!@#0-4
4-B!@#图4为某地地质剖面图，该地区	岩石形成①早于②、②晚于③!@#None!@#图4 为 某地 地质剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③!@#图4 为 某地 地质 剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③!@#图4 为 某地 地质剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③!@#图4 为 某地 地质剖面图 ， 该 地区 岩石 形成 ① 早于 ② 、 ② 晚于 ③!@#NN VC NN term PU DT NN NN VV NN VV NN PU NN VV NN!@#NN VC NN NN PU DT NN NN VV NN VV NN PU NN VV NN!@#!@#!@#!@#3!@#!@#!@#!@#( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 岩石))) (VP (VP (VV 形成) (NP (NN ①))) (VP (VV 早于) (NP (NN ②))))) (PU 、) (IP (NP (NN ②)) (VP (VV 晚于) (NP (NN ③))))) )!@#!@#!@#!@#比较_0(①,岩石形成,②,岩石形成,早于)比较_1(②,岩石形成,③,岩石形成,晚于)!@#比较!@#0_10 1_14!@#5-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#0-4
4-C!@#图4为某地地质剖面图，该地区	④处岩石受挤压容易被侵蚀!@#None!@#图4 为 某地 地质剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀!@#图4 为 某地 地质 剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀!@#图4 为 某地 地质剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀!@#图4 为 某地 地质剖面图 ， 该 地区 ④处 岩石 受 挤压 容易 被 侵蚀!@#NN VC NN NN PU DT NN NN NN VV NN AD SB VV!@#NN VC NN NN PU DT NN NN NN VV NN AD SB VV!@#!@#7!@#7!@#3 13!@#!@#!@#!@#( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN ④处) (NN 岩石)) (VP (VP (VV 受) (NP (NN 挤压))) (VP (ADVP (AD 容易)) (VP (SB 被) (VP (VV 侵蚀))))))) )!@#!@#!@#!@#因素关联_0(受挤压容易被侵蚀,该地区④处岩石)!@#因素关联!@#0_9!@#5-13!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#0-4
4-D!@#图4为某地地质剖面图，该地区	地形以背斜谷、向斜山为主!@#None!@#图4 为 某地 地质剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为 主!@#图4 为 某地 地质 剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为 主!@#图4 为 某地 地质剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为主!@#图4 为 某地 地质剖面图 ， 该 地区 地形 以 背斜谷 、 向斜山 为主!@#NN VC NN NN PU DT NN NN P NN PU NN VV NN!@#NN VC NN NN PU DT NN NN P NN PU NN VC NN!@#!@#!@#!@#3 9 11!@#!@#!@#!@#( (IP (IP (NP (NN 图4)) (VP (VC 为) (NP (NN 某地) (NN 地质剖面图)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 地形)) (VP (PP (P 以) (NP (NN 背斜谷) (PU 、) (NN 向斜山))) (VP (VV 为) (NP (NN 主)))))) )!@#!@#!@#!@#其他陈述_0(该地区,地形,以背斜谷、向斜山为主)!@#其他陈述!@#!@#5-13!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#0-4
5-A!@#图5为某地理事象过程示意图，若	该图为南水北调东线工程，则甲地区对水资源需求量小!@#n!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 南水北调 东线 工程 ， 则 甲地区 对 水资源 需求量 小!@#NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD loc P NN NN VA!@#NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD NR P NN NN VA!@#!@#!@#17!@#!@#!@#!@#!@#( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 南水北调) (NN 东线) (NN 工程))))) (PU ，) (IP (ADVP (AD 则)) (NP (NP (NR 甲地区)) (PP (P 对) (NP (NN 水资源))) (NP (NN 需求量))) (VP (VA 小))))) )!@#!@#!@#!@#因素关联_0(该图为南水北调东线工程,甲地区对水资源需求量小)!@#因素关联!@#0_8-16!@#8-21!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#陈述句!@#自定义类别!@#!@#!@#0-7
5-B!@#图5为某地理事象过程示意图，若	图中F为岩石圈物质循环中的重熔作用，则乙为岩浆岩!@#n!@#图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质 循环 中 的 重熔作用 ， 则 乙 为 岩浆岩!@#图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质 循环 中 的 重熔 作用 ， 则 乙 为 岩浆岩!@#图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质循环 中 的 重熔作用 ， 则 乙 为 岩浆岩!@#图5 为 某 地理 事象 过程 示意图 ， 若 图 中 F 为 岩石圈 物质循环 中 的 重熔作用 ， 则 乙 为 岩浆岩!@#NN VC DT NN NN NN NN PU CS NN LC NN VC NN NN NN LC DEG term PU AD NN VV term!@#NN VC DT NN NN NN NN PU CS NN LC NN VC NN NN NN LC DEG NN PU AD NN VC NN!@#!@#!@#!@#18 23!@#!@#!@#!@#( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN F))) (VP (VC 为) (NP (NP (NN 岩石圈)) (DNP (LCP (NP (NN 物质) (NN 循环)) (LC 中)) (DEG 的)) (NP (NN 重熔作用)))))) (PU ，) (VP (ADVP (AD 则)) (PP (NP (NN 乙))) (VP (VV 为) (NP (NN 岩浆岩)))))) )!@#!@#!@#!@#因素关联_0(F为岩石圈物质循环中的重熔作用,乙为岩浆岩)!@#因素关联!@#0_8-20!@#8-23!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#0-7
5-C!@#图5为某地理事象过程示意图，若	该图为人口迁移示意图，则此过程可缓解甲地人地矛盾!@#n!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 人口 迁移 示意图 ， 则 此 过程 可 缓解 甲地 人地 矛盾!@#NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD PN NN VV VV loc NN NN!@#NN VC DT NN NN NN NN PU CS DT NN VC NN NN NN PU AD PN NN VV VV NN NN NN!@#!@#!@#21!@#!@#!@#!@#!@#( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (NN 人口) (NN 迁移) (NN 示意图))))) (PU ，) (IP (ADVP (AD 则)) (NP (NP (PN 此)) (NP (NN 过程))) (VP (VV 可) (VP (VV 缓解) (NP (NP (NP (NR 甲地)) (NP (NN 人地))) (NP (NN 矛盾)))))))) )!@#!@#!@#!@#因素关联_0(此过程,缓解甲地人地矛盾)!@#因素关联!@#0_8-19!@#8-23!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#0-7
5-D!@#图5为某地理事象过程示意图，若	该图为水循环示意图的局部，甲代表海洋，则f为降水!@#n!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水!@#图5 为 某 地理 事象 过程 示意图 ， 若 该 图 为 水循环 示意图 的 局部 ， 甲 代表 海洋 ， 则 f 为 降水!@#NN VC DT NN NN NN NN PU CS DT NN VC term NN DEG NN PU NN VV NN PU AD NN VV NN!@#NN VC DT NN NN NN NN PU CS DT NN VC NN NN DEG NN PU NN VV NN PU AD NN VC NN!@#!@#!@#!@#12!@#!@#!@#!@#( (IP (IP (NP (NN 图5)) (VP (VC 为) (NP (NP (DP (DT 某)) (NP (NN 地理) (NN 事象) (NN 过程))) (NP (NN 示意图))))) (PU ，) (IP (CP (ADVP (CS 若)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (DNP (NP (NN 水循环) (NN 示意图)) (DEG 的)) (NP (NN 局部)))))) (PU ，) (IP (NP (NN 甲)) (VP (VV 代表) (NP (NN 海洋)))) (PU ，) (VP (ADVP (AD 则)) (PP (NP (NN f))) (VP (VV 为) (NP (NN 降水)))))) )!@#!@#!@#!@#因素关联_0(若该图为水循环示意图的局部，甲代表海洋,f为降水)!@#因素关联!@#0_8-21!@#8-24!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#0-7
6-A!@#据图6可知	北京正在经历大风雨雪天气!@#None!@#据 图6 可 知 北京 正在 经历 大风 雨雪 天气!@#据 图6 可 知 北京 正在 经历 大风 雨雪 天气!@#据 图6 可 知 北京 正在 经历 大风 雨雪 天气!@#据 图6 可 知 北京 正在 经历 大风 雨雪 天气!@#P NN VV VV loc AD VV NN NN NN!@#P NN VV VV NR AD VV NN NN NN!@#!@#!@#4!@#!@#4!@#!@#!@#( (IP (VP (PP (P 据) (NP (NN 图6))) (VP (VV 可) (VP (VV 知) (IP (NP (NR 北京)) (VP (ADVP (AD 正在)) (VP (VV 经历) (NP (NP (NN 大风) (NN 雨雪)) (NP (NN 天气)))))))))) )!@#!@#!@#!@#其他陈述_0(北京,正在经历,大风雨雪天气)!@#其他陈述!@#!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#范围限定!@#!@#0-3!@#
