编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#下列关于A、B两地大气状况的叙述，正确的是	气压：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC term PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#11!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气压)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气压,B地,气压,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10!@#2-4
3-D!@#下列关于A、B两地大气状况的叙述，正确的是	B地空气冷却下沉!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 B地 空气 冷却 下沉!@#JJ P loc NN NN DEG NN PU VA DEC VC loc NN VV VV!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NN VV VV!@#!@#!@#2 11!@#!@#!@#!@#!@#( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR B地)) (NP (NN 空气)) (VP (VP (VV 冷却)) (VP (VV 下沉)))))) )!@#!@#!@#!@#其他陈述_0(B地空气冷却下沉)!@#其他陈述!@#!@#11-14!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-1 5-10!@#2-4
4-A!@#图中甲处有大面积绿地。绿地对空气的作用有	净化、增温!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增温!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 净化) (PU 、) (NN 增温))))) )!@#影响_0(绿地,空气,#,净化、增温)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#12!@#!@#
4-B!@#图中甲处有大面积绿地。绿地对空气的作用有	净化、增湿!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 净化 、 增湿!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 净化) (PU 、) (NN 增湿))))) )!@#影响_0(绿地,空气,#,净化、增湿)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
4-C!@#图中甲处有大面积绿地。绿地对空气的作用有	增温、增湿!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 增湿!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 增温) (PU 、) (NN 增湿))))) )!@#影响_0(绿地,空气,#,增温、增湿)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
4-D!@#图中甲处有大面积绿地。绿地对空气的作用有	增温、减湿!@#None!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#图 中 甲处 有 大面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#图 中 甲处 有 大 面积 绿地 。 绿地 对 空气 的 作用 有 增温 、 减湿!@#NN LC loc VE NN NN PU NN P NN DEG NN VE NN PU NN!@#NN LC NN VE NN NN PU NN P NN DEG NN VE NN PU NN!@#!@#!@#2!@#!@#!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 图)) (LC 中)) (NP (NR 甲处)) (VP (VE 有) (NP (NN 大面积) (NN 绿地))) (PU 。))) (NP (NN 绿地))) (VP (PP (P 对) (NP (DNP (NP (NN 空气)) (DEG 的)) (NP (NN 作用)))) (VP (VE 有) (NP (NN 增温) (PU 、) (NN 减湿))))) )!@#影响_0(绿地,空气,#,增温、减湿)!@#影响!@#0_10-11-12!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
5-A!@#据图判断，N省区最可能是	上海!@#None!@#据 图 判断 ， N 省区 最 可能 是 上海!@#据 图 判断 ， N 省区 最 可能 是 上海!@#据 图 判断 ， N省 区 最 可能 是 上海!@#据 图 判断 ， N省 区 最 可能 是 上海!@#P NN VV PU NN NN AD VV VC loc!@#P NN VV PU NN NN AD AD VC NR!@#!@#!@#9!@#!@#9!@#!@#!@#( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NN N) (NN 省区)) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NR 上海)))))) )!@#!@#!@#!@#指示_0(N省区,上海)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#自定义类别!@#名词短语+动词短语!@#6-8!@#0-3 6-7!@#
5-B!@#据图判断，N省区最可能是	新疆!@#None!@#据 图 判断 ， N 省区 最 可能 是 新疆!@#据 图 判断 ， N 省区 最 可能 是 新疆!@#据 图 判断 ， N省 区 最 可能 是 新疆!@#据 图 判断 ， N省 区 最 可能 是 新疆!@#P NN VV PU NN NN AD VV VC loc!@#P NN VV PU NN NN AD AD VC NR!@#!@#!@#9!@#!@#9!@#!@#!@#( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NN N) (NN 省区)) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NR 新疆)))))) )!@#!@#!@#!@#指示_0(N省区,新疆)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0-3 6-7!@#
5-C!@#据图判断，N省区最可能是	辽宁!@#None!@#据 图 判断 ， N 省区 最 可能 是 辽宁!@#据 图 判断 ， N 省区 最 可能 是 辽宁!@#据 图 判断 ， N省 区 最 可能 是 辽宁!@#据 图 判断 ， N省 区 最 可能 是 辽宁!@#P NN VV PU NN NN AD VV VC loc!@#P NN VV PU NN NN AD AD VC NR!@#!@#!@#9!@#!@#9!@#!@#!@#( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NN N) (NN 省区)) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NR 辽宁)))))) )!@#!@#!@#!@#指示_0(N省区,辽宁)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0-3 6-7!@#
5-D!@#据图判断，N省区最可能是	四川!@#None!@#据 图 判断 ， N 省区 最 可能 是 四川!@#据 图 判断 ， N 省区 最 可能 是 四川!@#据 图 判断 ， N省 区 最 可能 是 四川!@#据 图 判断 ， N省 区 最 可能 是 四川!@#P NN VV PU NN NN AD VV VC loc!@#P NN VV PU NN NN AD AD VC NR!@#!@#!@#9!@#!@#9!@#!@#!@#( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NN N) (NN 省区)) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NR 四川)))))) )!@#!@#!@#!@#指示_0(N省区,四川)!@#指示!@#0_8!@#4-9!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#0-3 6-7!@#
6-①!@#控制上述省区空气中二氧化硫浓度的合理措施有	将耗煤量大的企业外迁!@#None!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 将 耗煤量 大 的 企业 外迁!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 将 耗煤量 大 的 企业 外迁!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 将 耗煤量 大 的 企业 外迁!@#控制 上述 省区 空气 中 二氧化硫 浓度 的 合理 措施 有 将 耗煤量 大 的 企业 外迁!@#VV JJ NN NN LC NN NN DEC JJ NN VE BA NN VA DEC NN VV!@#VV JJ NN NN LC NN NN DEC JJ NN VE BA NN VA DEC NN VV!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 控制) (NP (NP (ADJP (JJ 上述)) (NP (NN 省区))) (LCP (NP (NN 空气)) (LC 中)) (NP (NN 二氧化硫) (NN 浓度))))) (DEC 的)) (ADJP (JJ 合理)) (NP (NN 措施))) (VP (VE 有) (IP (VP (BA 将) (IP (NP (CP (IP (NP (NN 耗煤量)) (VP (VA 大))) (DEC 的)) (NP (NN 企业))) (VP (VV 外迁))))))) )!@#对策_0(上述省区空气中二氧化硫浓度,控制,将耗煤量大的企业外迁)!@#对策!@#0_9!@#其他陈述_0(,,)!@#其他陈述!@#!@#11-16!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#null!@#名词短语+动词短语!@#10!@#8!@#
